Jogador,Data do jogo,Adversário,Vitória ou derrota,Casa ou fora,Pontos,Rebotes,Assistências,Placar,Tentativas de cesta de 3 pontos,Cestas de 3 pontos marcadas,Tempo de permanência
Jamal Murray,2024-10-24,OKC,Derrota,Casa,12,6,4,102 - 87,5,2,38
Nikola Jokić,2024-10-24,OKC,Derrota,Casa,16,12,13,102 - 87,3,1,35
Michael Porter Jr.,2024-10-24,OKC,Derrota,Casa,15,8,2,102 - 87,10,3,32
Nikola Jokić,2024-10-26,LAC,Derrota,Casa,41,9,4,109 - 104,12,7,37
Michael Porter Jr.,2024-10-26,LAC,Derrota,Casa,9,9,3,109 - 104,6,0,38
Jamal Murray,2024-10-26,LAC,Derrota,Casa,22,2,5,109 - 104,6,3,37
Jamal Murray,2024-10-28,TOR,Vitória,Fora,17,9,7,125 - 127,2,0,40
Michael Porter Jr.,2024-10-28,TOR,Vitória,Fora,13,9,2,125 - 127,4,1,39
Nikola Jokić,2024-10-28,TOR,Vitória,Fora,40,10,4,125 - 127,5,3,44
Jamal Murray,2024-10-29,BKN,Vitória,Fora,24,3,3,139 - 144,7,2,37
Nikola Jokić,2024-10-29,BKN,Vitória,Fora,29,18,16,139 - 144,0,0,41
Michael Porter Jr.,2024-10-29,BKN,Vitória,Fora,16,5,2,139 - 144,7,4,41
Nikola Jokić,2024-11-01,MIN,Derrota,Fora,26,9,13,119 - 116,3,2,40
Michael Porter Jr.,2024-11-01,MIN,Derrota,Fora,26,6,4,119 - 116,7,3,39
Jamal Murray,2024-11-01,MIN,Derrota,Fora,6,2,3,119 - 116,3,0,22
Nikola Jokić,2024-11-02,UTA,Vitória,Casa,27,16,9,103 - 129,4,3,30
Michael Porter Jr.,2024-11-02,UTA,Vitória,Casa,20,5,2,103 - 129,6,4,29
Nikola Jokić,2024-11-04,TOR,Vitória,Casa,28,14,13,119 - 121,5,1,38
Michael Porter Jr.,2024-11-04,TOR,Vitória,Casa,19,9,3,119 - 121,10,3,36
Nikola Jokić,2024-11-06,OKC,Vitória,Casa,23,20,16,122 - 124,3,1,39
Michael Porter Jr.,2024-11-06,OKC,Vitória,Casa,24,7,3,122 - 124,10,6,41
Nikola Jokić,2024-11-08,MIA,Vitória,Casa,30,11,14,122 - 135,1,1,40
Michael Porter Jr.,2024-11-08,MIA,Vitória,Casa,21,5,4,122 - 135,10,5,36
Jamal Murray,2024-11-08,MIA,Vitória,Casa,28,4,6,122 - 135,10,4,35
Michael Porter Jr.,2024-11-10,DAL,Vitória,Casa,17,7,4,120 - 122,6,2,36
Jamal Murray,2024-11-10,DAL,Vitória,Casa,18,1,6,120 - 122,6,2,38
Nikola Jokić,2024-11-10,DAL,Vitória,Casa,37,18,15,120 - 122,3,3,38
Michael Porter Jr.,2024-11-15,NOP,Derrota,Fora,24,6,3,101 - 94,7,4,39
Jamal Murray,2024-11-15,NOP,Derrota,Fora,16,6,8,101 - 94,8,2,43
Michael Porter Jr.,2024-11-17,MEM,Derrota,Fora,10,3,1,105 - 90,4,0,27
Jamal Murray,2024-11-17,MEM,Derrota,Fora,13,6,7,105 - 90,6,1,37
Michael Porter Jr.,2024-11-19,MEM,Vitória,Fora,24,11,3,110 - 122,4,0,40
Jamal Murray,2024-11-19,MEM,Vitória,Fora,27,4,6,110 - 122,10,5,36
Nikola Jokić,2024-11-22,DAL,Derrota,Casa,33,17,10,123 - 120,2,2,39
Michael Porter Jr.,2024-11-22,DAL,Derrota,Casa,17,5,5,123 - 120,3,2,36
Jamal Murray,2024-11-22,DAL,Derrota,Casa,14,5,11,123 - 120,11,4,39
Michael Porter Jr.,2024-11-23,LAL,Vitória,Fora,24,11,4,102 - 127,7,4,36
Nikola Jokić,2024-11-23,LAL,Vitória,Fora,34,13,8,102 - 127,7,3,37
Jamal Murray,2024-11-23,LAL,Vitória,Fora,14,5,5,102 - 127,4,2,30
Jamal Murray,2024-11-25,NYK,Derrota,Casa,20,4,7,145 - 118,5,1,31
Nikola Jokić,2024-11-25,NYK,Derrota,Casa,22,7,7,145 - 118,7,2,32
Michael Porter Jr.,2024-11-25,NYK,Derrota,Casa,18,10,0,145 - 118,7,3,34
Michael Porter Jr.,2024-11-27,UTA,Vitória,Fora,19,7,4,103 - 122,6,2,31
Jamal Murray,2024-11-27,UTA,Vitória,Fora,22,4,8,103 - 122,6,1,36
Nikola Jokić,2024-11-27,UTA,Vitória,Fora,30,10,7,103 - 122,3,2,34
Michael Porter Jr.,2024-12-01,LAC,Derrota,Fora,18,7,1,126 - 122,1,1,32
Jamal Murray,2024-12-01,LAC,Derrota,Fora,18,0,7,126 - 122,4,2,38
Nikola Jokić,2024-12-01,LAC,Derrota,Fora,28,14,11,126 - 122,7,2,39
Michael Porter Jr.,2024-12-03,GSW,Vitória,Casa,22,7,2,115 - 119,3,1,31
Nikola Jokić,2024-12-03,GSW,Vitória,Casa,38,10,6,115 - 119,4,3,40
Jamal Murray,2024-12-03,GSW,Vitória,Casa,12,3,7,115 - 119,3,1,34
Nikola Jokić,2024-12-05,CLE,Derrota,Fora,27,20,11,126 - 114,3,0,39
Jamal Murray,2024-12-05,CLE,Derrota,Fora,19,4,6,126 - 114,3,1,42
Michael Porter Jr.,2024-12-05,CLE,Derrota,Fora,24,7,2,126 - 114,6,3,38
Nikola Jokić,2024-12-07,WAS,Derrota,Fora,56,16,8,122 - 113,6,3,39
Michael Porter Jr.,2024-12-07,WAS,Derrota,Fora,11,5,6,122 - 113,5,0,36
Nikola Jokić,2024-12-08,ATL,Vitória,Fora,48,14,8,111 - 141,6,3,35
Michael Porter Jr.,2024-12-08,ATL,Vitória,Fora,26,7,3,111 - 141,5,1,36
Michael Porter Jr.,2024-12-13,LAC,Vitória,Casa,17,5,4,98 - 120,7,2,29
Jamal Murray,2024-12-13,LAC,Vitória,Casa,20,5,3,98 - 120,5,2,32
Nikola Jokić,2024-12-13,LAC,Vitória,Casa,16,7,2,98 - 120,2,2,30
Jamal Murray,2024-12-16,SAC,Vitória,Fora,28,2,6,129 - 130,8,4,38
Michael Porter Jr.,2024-12-16,SAC,Vitória,Fora,11,10,1,129 - 130,2,1,31
Nikola Jokić,2024-12-16,SAC,Vitória,Fora,20,14,13,129 - 130,6,1,38
Michael Porter Jr.,2024-12-19,POR,Derrota,Fora,16,6,3,126 - 124,7,3,32
Jamal Murray,2024-12-19,POR,Derrota,Fora,24,3,10,126 - 124,6,3,38
Nikola Jokić,2024-12-19,POR,Derrota,Fora,34,6,8,126 - 124,6,4,37
Michael Porter Jr.,2024-12-22,NOP,Vitória,Fora,8,4,1,129 - 132,6,2,23
Jamal Murray,2024-12-22,NOP,Vitória,Fora,27,8,4,129 - 132,9,2,41
Nikola Jokić,2024-12-22,NOP,Vitória,Fora,27,13,10,129 - 132,3,2,43
Michael Porter Jr.,2024-12-23,PHX,Vitória,Casa,24,6,4,90 - 117,4,2,30
Nikola Jokić,2024-12-23,PHX,Vitória,Casa,32,2,7,90 - 117,6,4,30
Michael Porter Jr.,2024-12-25,PHX,Derrota,Fora,22,4,2,110 - 100,8,3,37
Jamal Murray,2024-12-25,PHX,Derrota,Fora,13,6,6,110 - 100,2,1,39
Nikola Jokić,2024-12-25,PHX,Derrota,Fora,25,15,2,110 - 100,7,2,38
Michael Porter Jr.,2024-12-27,CLE,Derrota,Casa,18,4,3,149 - 135,8,5,32
Jamal Murray,2024-12-27,CLE,Derrota,Casa,27,3,11,149 - 135,6,3,40
Nikola Jokić,2024-12-27,CLE,Derrota,Casa,27,14,13,149 - 135,3,0,36
Nikola Jokić,2024-12-28,DET,Vitória,Casa,37,9,8,121 - 134,5,4,37
Jamal Murray,2024-12-28,DET,Vitória,Casa,34,5,4,121 - 134,7,4,40
Michael Porter Jr.,2024-12-28,DET,Vitória,Casa,26,3,0,121 - 134,7,5,34
Nikola Jokić,2024-12-30,UTA,Vitória,Fora,36,22,11,121 - 132,9,3,38
Jamal Murray,2024-12-30,UTA,Vitória,Fora,20,4,10,121 - 132,6,2,37
Michael Porter Jr.,2024-12-30,UTA,Vitória,Fora,21,6,2,121 - 132,6,3,35
Jamal Murray,2025-01-01,ATL,Vitória,Casa,21,3,2,120 - 139,5,2,36
Nikola Jokić,2025-01-01,ATL,Vitória,Casa,23,17,15,120 - 139,1,1,30
Michael Porter Jr.,2025-01-01,ATL,Vitória,Casa,21,4,2,120 - 139,9,5,24
Jamal Murray,2025-01-03,SAS,Derrota,Casa,14,4,7,113 - 110,5,2,37
Michael Porter Jr.,2025-01-03,SAS,Derrota,Casa,22,4,1,113 - 110,8,4,42
Nikola Jokić,2025-01-03,SAS,Derrota,Casa,41,18,9,113 - 110,10,3,37
Michael Porter Jr.,2025-01-04,SAS,Vitória,Fora,28,10,2,111 - 122,9,4,46
Nikola Jokić,2025-01-04,SAS,Vitória,Fora,46,9,10,111 - 122,8,3,43
Jamal Murray,2025-01-04,SAS,Vitória,Fora,13,6,6,111 - 122,3,1,38
Michael Porter Jr.,2025-01-07,BOS,Derrota,Casa,15,10,3,118 - 106,7,2,36
Jamal Murray,2025-01-07,BOS,Derrota,Casa,19,4,4,118 - 106,5,1,39
Michael Porter Jr.,2025-01-08,LAC,Vitória,Casa,19,8,2,103 - 126,5,3,27
Jamal Murray,2025-01-08,LAC,Vitória,Casa,21,3,9,103 - 126,6,4,34
Jamal Murray,2025-01-10,BKN,Vitória,Casa,7,0,3,105 - 124,2,1,16
Nikola Jokić,2025-01-10,BKN,Vitória,Casa,35,12,15,105 - 124,1,1,38
Michael Porter Jr.,2025-01-10,BKN,Vitória,Casa,17,6,1,105 - 124,9,2,34
Michael Porter Jr.,2025-01-12,DAL,Vitória,Fora,13,4,1,101 - 112,8,1,25
Nikola Jokić,2025-01-12,DAL,Vitória,Fora,19,18,9,101 - 112,2,0,39
Jamal Murray,2025-01-12,DAL,Vitória,Fora,17,2,2,101 - 112,6,2,32
Jamal Murray,2025-01-14,DAL,Vitória,Fora,45,2,6,99 - 118,9,5,37
Nikola Jokić,2025-01-14,DAL,Vitória,Fora,10,14,10,99 - 118,2,1,29
Michael Porter Jr.,2025-01-14,DAL,Vitória,Fora,13,6,2,99 - 118,4,3,26
Jamal Murray,2025-01-15,HOU,Derrota,Casa,22,4,5,128 - 108,5,4,30
Michael Porter Jr.,2025-01-15,HOU,Derrota,Casa,8,3,0,128 - 108,2,0,24
Nikola Jokić,2025-01-17,MIA,Vitória,Fora,24,12,10,113 - 133,2,1,31
Michael Porter Jr.,2025-01-17,MIA,Vitória,Fora,14,9,2,113 - 133,7,4,29
Jamal Murray,2025-01-17,MIA,Vitória,Fora,30,7,8,113 - 133,7,2,37
Jamal Murray,2025-01-19,ORL,Vitória,Fora,19,2,4,100 - 113,6,1,38
Nikola Jokić,2025-01-19,ORL,Vitória,Fora,20,14,10,100 - 113,0,0,30
Michael Porter Jr.,2025-01-19,ORL,Vitória,Fora,15,6,0,100 - 113,5,3,28
Nikola Jokić,2025-01-21,PHI,Vitória,Casa,27,13,10,109 - 144,3,2,30
Michael Porter Jr.,2025-01-21,PHI,Vitória,Casa,19,6,1,109 - 144,6,3,25
Jamal Murray,2025-01-21,PHI,Vitória,Casa,9,6,7,109 - 144,3,0,33
Michael Porter Jr.,2025-01-23,SAC,Vitória,Casa,20,8,0,123 - 132,8,2,34
Jamal Murray,2025-01-23,SAC,Vitória,Casa,18,6,5,123 - 132,6,1,40
Nikola Jokić,2025-01-23,SAC,Vitória,Casa,35,22,17,123 - 132,3,2,37
Jamal Murray,2025-01-25,MIN,Derrota,Fora,25,2,5,133 - 104,5,3,35
Nikola Jokić,2025-01-25,MIN,Derrota,Fora,20,3,11,133 - 104,4,2,32
Michael Porter Jr.,2025-01-25,MIN,Derrota,Fora,11,0,2,133 - 104,6,3,31
Michael Porter Jr.,2025-01-27,CHI,Derrota,Fora,18,7,0,129 - 121,8,2,32
Jamal Murray,2025-01-27,CHI,Derrota,Fora,18,6,6,129 - 121,5,1,40
Nikola Jokić,2025-01-27,CHI,Derrota,Fora,33,12,14,129 - 121,4,1,40
Michael Porter Jr.,2025-01-29,NYK,Derrota,Fora,9,3,2,122 - 112,5,1,26
Jamal Murray,2025-01-29,NYK,Derrota,Fora,33,5,6,122 - 112,7,3,37
Nikola Jokić,2025-01-29,NYK,Derrota,Fora,17,6,6,122 - 112,7,3,33
